Time,DV,YDESC,CL_Drug,DOSEGROUP,CL,Drug,YTYPE,ID,mdv,TIME_UNIT,UNIT
44,0,IL6,HighExprHighAffinity,0.5,HighExpr,HighAffinity,3,2,1,h,ng/mL
68,0,IL6,HighExprHighAffinity,0.5,HighExpr,HighAffinity,3,2,1,h,ng/mL
94,0,IL6,HighExprHighAffinity,0.5,HighExpr,HighAffinity,3,2,1,h,ng/mL
18,0,IL6,HighExprHighAffinity,5,HighExpr,HighAffinity,3,3,1,h,ng/mL
44,0,IL6,HighExprHighAffinity,5,HighExpr,HighAffinity,3,3,1,h,ng/mL
68,23.535713333,IL6,HighExprHighAffinity,5,HighExpr,HighAffinity,3,3,0,h,ng/mL
94,35.657773333,IL6,HighExprHighAffinity,5,HighExpr,HighAffinity,3,3,0,h,ng/mL
18,13.952527667,IL6,HighExprHighAffinity,50,HighExpr,HighAffinity,3,4,0,h,ng/mL
44,59.212713333,IL6,HighExprHighAffinity,50,HighExpr,HighAffinity,3,4,0,h,ng/mL
68,146.92096667,IL6,HighExprHighAffinity,50,HighExpr,HighAffinity,3,4,0,h,ng/mL
94,200.40753333,IL6,HighExprHighAffinity,50,HighExpr,HighAffinity,3,4,0,h,ng/mL
18,67.63519,IL6,HighExprHighAffinity,500,HighExpr,HighAffinity,3,5,0,h,ng/mL
44,231.15033333,IL6,HighExprHighAffinity,500,HighExpr,HighAffinity,3,5,0,h,ng/mL
68,347.4072,IL6,HighExprHighAffinity,500,HighExpr,HighAffinity,3,5,0,h,ng/mL
94,724.56846667,IL6,HighExprHighAffinity,500,HighExpr,HighAffinity,3,5,0,h,ng/mL
18,48.280506667,IL6,HighExprHighAffinity,5000,HighExpr,HighAffinity,3,6,0,h,ng/mL
44,256.54543333,IL6,HighExprHighAffinity,5000,HighExpr,HighAffinity,3,6,0,h,ng/mL
68,469.4149,IL6,HighExprHighAffinity,5000,HighExpr,HighAffinity,3,6,0,h,ng/mL
94,953.8643,IL6,HighExprHighAffinity,5000,HighExpr,HighAffinity,3,6,0,h,ng/mL
18,43.686426667,IL6,HighExprHighAffinity,50000,HighExpr,HighAffinity,3,7,0,h,ng/mL
44,206.98893333,IL6,HighExprHighAffinity,50000,HighExpr,HighAffinity,3,7,0,h,ng/mL
68,460.04786667,IL6,HighExprHighAffinity,50000,HighExpr,HighAffinity,3,7,0,h,ng/mL
94,850.39403333,IL6,HighExprHighAffinity,50000,HighExpr,HighAffinity,3,7,0,h,ng/mL
